Wavelength;Channel 1
1510.0;-37.23
1510.02;-37.23
1510.04;-37.23
1510.06;-37.23
1510.08;-37.23
1510.1;-37.23
1510.12;-37.23
1510.1399999999999;-37.23
1510.1599999999999;-37.23
1510.1799999999998;-37.23
1510.1999999999998;-37.23
1510.2199999999998;-37.23
1510.2399999999998;-37.23
1510.2599999999998;-37.23
1510.2799999999997;-37.23
1510.2999999999997;-37.23
1510.3199999999997;-37.23
1510.3399999999997;-37.23
1510.3599999999997;-37.23
1510.3799999999997;-37.23
1510.3999999999996;-37.23
1510.4199999999996;-37.23
1510.4399999999996;-37.16
1510.4599999999996;-36.88
1510.4799999999996;-36.82
1510.4999999999995;-36.7
1510.5199999999995;-36.59
1510.5399999999995;-36.44
1510.5599999999995;-36.35
1510.5799999999995;-36.34
1510.5999999999995;-36.26
1510.6199999999994;-36.32
1510.6399999999994;-36.3
1510.6599999999994;-36.2
1510.6799999999994;-36.31
1510.6999999999994;-36.22
1510.7199999999993;-36.32
1510.7399999999993;-36.28
1510.7599999999993;-36.31
1510.7799999999993;-36.32
1510.7999999999993;-36.48
1510.8199999999993;-36.5
1510.8399999999992;-36.6
1510.8599999999992;-36.64
1510.8799999999992;-36.84
1510.8999999999992;-36.84
1510.9199999999992;-37.03
1510.9399999999991;-37.18
1510.9599999999991;-37.25
1510.979999999999;-37.49
1510.999999999999;-37.77
1511.019999999999;-37.98
1511.039999999999;-38.13
1511.059999999999;-38.39
1511.079999999999;-38.68
1511.099999999999;-38.89
1511.119999999999;-39.04
1511.139999999999;-39.24
1511.159999999999;-39.68
1511.179999999999;-39.98
1511.199999999999;-40.64
1511.219999999999;-41.06
1511.2399999999989;-41.28
1511.2599999999989;-41.8
1511.2799999999988;-42.11
1511.2999999999988;-42.32
1511.3199999999988;-42.55
1511.3399999999988;-43.39
1511.3599999999988;-43.58
1511.3799999999987;-43.71
1511.3999999999987;-43.75
1511.4199999999987;-43.6
1511.4399999999987;-43.35
1511.4599999999987;-42.89
1511.4799999999987;-42.79
1511.4999999999986;-42.13
1511.5199999999986;-41.74
1511.5399999999986;-41.21
1511.5599999999986;-40.7
1511.5799999999986;-40.37
1511.5999999999985;-39.88
1511.6199999999985;-39.23
1511.6399999999985;-39.02
1511.6599999999985;-38.77
1511.6799999999985;-38.53
1511.6999999999985;-38.26
1511.7199999999984;-38.13
1511.7399999999984;-37.96
1511.7599999999984;-37.7
1511.7799999999984;-37.58
1511.7999999999984;-37.4
1511.8199999999983;-37.3
1511.8399999999983;-37.11
1511.8599999999983;-37.03
1511.8799999999983;-37.0
1511.8999999999983;-36.95
1511.9199999999983;-36.91
1511.9399999999982;-36.87
1511.9599999999982;-36.81
1511.9799999999982;-36.73
1511.9999999999982;-36.69
1512.0199999999982;-36.79
1512.0399999999981;-36.77
1512.0599999999981;-36.83
1512.079999999998;-36.91
1512.099999999998;-36.93
1512.119999999998;-37.11
1512.139999999998;-37.08
1512.159999999998;-37.09
1512.179999999998;-37.34
